"","Season","ppp","orb.pct","ppFGM"
"1",2023,1.167,0.254,2.303944316
"2",2022,1.148,0.24,2.295238095
"3",2021,1.12,0.232,2.306569343
"4",2020,1.123,0.222,2.307506053
"5",2019,1.106,0.225,2.29950495
"6",2018,1.104,0.229,2.276960784
"7",2017,1.086,0.223,2.264197531
"8",2016,1.088,0.233,2.246268657
"9",2015,1.064,0.238,2.222222222
"10",2014,1.056,0.251,2.20959596
"11",2013,1.066,0.255,2.206030151
"12",2012,1.058,0.265,2.19201995
"13",2011,1.046,0.27,2.176767677
"14",2010,1.073,0.264,2.174563591
"15",2009,1.076,0.263,2.170792079
"16",2008,1.083,0.267,2.179104478
"17",2007,1.075,0.267,2.177057357
"18",2006,1.065,0.271,2.164974619
"19",2005,1.062,0.273,2.160714286
"20",2004,1.061,0.287,2.155612245
"21",2003,1.029,0.286,2.147668394
"22",2002,1.036,0.285,2.143958869
"23",2001,1.045,0.289,2.143939394
"24",2000,1.03,0.282,2.136597938
"25",1999,1.041,0.289,2.132315522
"26",1998,1.022,0.302,2.131233596
"27",1997,1.05,0.314,2.121518987
"28",1996,1.067,0.308,2.168765743
